fiscal_year,period,period_end,ROA_%,ROIC_%,ROE_%,Common_Equity_ROE_%,Gross_Margin_%,SGA_%,EBITDA_Margin_%,EBITA_Margin_%,EBIT_Margin_%,Continuing_Operations_Income_Margin_%,Net_Margin_%,Normalized_Net_Margin_%,FCF_Levered_Margin_%,FCF_Unlevered_Margin_%,CFO_Current_Liabilities_%,FCFonCE_%,Asset_Turnover,Fixed_Asset_Turnover,AR_Turnover,Inventory_Turnover,Working_Capital_Turnover,CCC,DSO,DIO,DPO,Current_Ratio,Quick_Ratio,Debt_Equity_%,Debt_Total_Capital_%,Liabilities_Assets_%,Debt_EBITDA,Net_Debt_EBITDA,Net_Debt_EBITDA_Capex,EBIT_Interest,EBITDA_Interest,EBITDA_Capex_Interest,FFO_Interest,FFO_Debt,P_E,Annual_EPS,EPS_Growth_5Y_%,P_E_Growth_5Y_%,Price,52W_High,Diff_vs_52W_High_%,52W_Low,Diff_vs_52W_Low_%,Dividend_Yield_%,Payout_Ratio_%,null_reason
2021,Q1,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,1.3303408953051072,1.1267742326822758,211.49594694178333,67.89685356044475,77.38157412243174,,,,,,,,,,,,,52.5099983215332,54.93000030517578,-4.405610723097979,43.20000076293945,21.550919893919612,3.1422587178475894,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;ROIC_REQUIRED_INPUT_MISSING;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2021,Q2,2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,1.4694424472187726,1.2549839858814305,180.41709739763587,64.3388363519795,75.33206199968956,,,,,,,,,,,,,54.18000030517578,56.47999954223633,-4.0722366425314505,43.83000183105469,23.613958571153532,3.063861186138497,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;ROIC_REQUIRED_INPUT_MISSING;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2021,Q3,2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.5159474671669793,1.3169480925578487,179.63839668154563,64.23953177149674,75.52148864313621,,,,,,,,,,,,,53.02000045776367,57.560001373291016,-7.887423223089073,47.29999923706055,12.093026031639738,3.149754782311518,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;ROIC_REQUIRED_INPUT_MISSING;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2021,FY,2021-12-31,10.758051197357556,,46.20076599366401,46.20076599366401,60.27163368257663,31.41637563057819,30.422972448583625,,26.666666666666668,,25.277454404346138,,29.124304747121972,,63.28320802005013,48.94995434584112,0.42559867877786955,3.7353239599942025,11.615084134615383,4.5979041916167676,14.89595375722542,-195.36638592622222,31.424653990428148,79.38399426971412,306.1750341863645,1.130075187969925,0.9589473684210527,171.54658898212966,63.17390677789698,75.62477478432288,3.3549319727891156,2.3869897959183675,2.700952564225921,6.45460237946149,7.3638071383844705,6.507827175954916,,,26.315555148654514,2.25,4.680526290373677,-2.9951107922915887,59.209999084472656,59.34999847412109,-0.23588777295331909,48.11000061035156,23.072122912700138,2.8373585981705687,74.66666666666666,ROIC_REQUIRED_INPUT_MISSING;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE
2021,Q4,2021-12-31,15.848832179930797,25.039670563147777,64.88556376997654,64.88556376997654,60.8175904781676,30.84561622033077,31.56701958341983,,27.759324614213547,,25.35637672133416,,28.255830046363567,,90.97744360902256,71.01613113613635,0.6250432525951558,5.7867654419861845,15.62059181191731,6.8674954517889635,22.2751445086705,-144.66168711688266,23.36659227735105,53.14892489734646,221.17720429158018,1.130075187969925,0.9589473684210527,171.54658898212966,63.17390677789698,75.62477478432288,2.1622184468679784,1.5383898723077767,1.7085209981740719,5.692089393401916,6.47286271727563,5.828307910606598,,,,,,,59.209999084472656,59.34999847412109,-0.23588777295331909,48.11000061035156,23.072122912700138,2.8373585981705687,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2022,Q1,2022-04-01,16.126909318642593,25.017506681339807,63.510576038792756,63.510576038792756,60.80134964150147,30.582876423450017,31.865035849852376,,28.22269084774357,,25.63137916490932,,25.843947701391816,,91.21733113323043,61.65828134433489,0.6291861711726057,6.016544863987008,14.540659879798847,6.494758909853249,17.594241614722474,-137.7695055571151,25.102024462252214,56.19916074887025,219.07069076823757,1.1793261297705862,0.9801990738276468,153.31455021131012,60.52338883945596,73.58713216533424,2.0166772554002543,1.5073591698432869,1.6678968951376687,6.5373192653380245,7.381008206330598,6.670574443141851,,,,,,,62.869998931884766,63.02000045776367,-0.2380220958256558,52.27999877929688,20.256312930102,2.7039924111368774,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2022,Q2,2022-07-01,15.442790533720018,24.870379705894518,60.42633228840126,60.42633228840126,59.851829802715336,30.285591440525213,30.017694432041797,,26.548262803657945,,23.907327479287595,,25.32949678358221,,83.6345039209001,66.58117800478158,0.6459438240053836,6.284007066403408,13.239408866995076,6.595490355881553,23.168965517241386,-123.69726909454008,27.569206727191542,55.340843562072656,206.60731938380428,1.1271248356144368,0.9507573912619941,163.19495761790915,62.00535112637907,75.30831070420419,2.06825694138387,1.470912296165712,1.6382378205914838,8.120384420839656,9.181588265048052,8.243803743045017,,,,,,,64.37999725341797,67.19999694824219,-4.196428307870605,52.27999877929688,23.144603589609773,2.6716372683732668,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2022,Q3,2022-09-30,15.956690368455076,26.94555904679184,64.66273739358218,64.66273739358218,59.56059324790215,30.038053730566578,29.738827815000324,,26.416444415533725,,24.086059975281334,,24.59181682170038,,79.23410606838004,66.31001973251479,0.6624865330747685,6.574926490243252,14.489161168708767,6.785918952108064,22.77481481481482,-143.51135343089044,25.19124438951408,53.78785136928458,222.49044918968912,1.1259387098278837,0.9529828816642566,158.69765402324052,61.3448369380975,75.33821414281233,1.9790561601137422,1.317383933942145,1.4669954938497138,8.266666666666667,9.306361323155217,8.357251908396947,,,,,,,56.02000045776367,67.19999694824219,-16.63690029493516,52.27999877929688,7.15379067672788,3.1060335340623118,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2022,FY,2022-12-31,10.198966422078163,17.628969076863154,40.51460597826087,40.51460597826087,58.143428518277375,29.950702260254864,28.297367686726822,,25.36740768300623,,22.18863361547763,,22.17003069481909,,55.86088014601501,39.55196017423771,0.45964824147458533,4.352411315216841,12.288612658951276,4.7077285209886215,14.999651203348442,-200.66339930910823,29.702295135336254,77.53208333333336,307.89777777777783,1.1453559115798013,0.9307442709389576,152.56585770587017,60.406366518289786,74.01442385433847,3.0221053496589696,2.152025638918564,2.450912494150679,12.368480725623584,13.797052154195011,12.11451247165533,,,29.045662379155964,2.19,4.116177893347861,-1.0610325368789253,63.61000061035156,67.19999694824219,-5.342256697802611,54.02000045776367,17.75268432307024,2.7668605299676523,80.36529680365298,CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE
2022,Q4,2022-12-31,15.362190526577194,28.05119052876567,60.660839906203364,60.660839906203364,58.46806541190991,29.389077445232957,28.634680654119105,,25.694230175871645,,21.950015427337245,,20.970379512496145,,78.90894341918475,56.39079029247044,0.6998715138689441,6.7931251309997895,17.329234059617697,6.780254376023171,22.608998953610037,-141.03225233673933,21.06267355754397,53.83278852940084,215.92771442368414,1.1453559115798013,0.9307442709389576,152.56585770587017,60.406366518289786,74.01442385433847,1.9813587629976834,1.4109153601637845,1.5785412899336955,13.1973058637084,14.707606973058637,13.14580031695721,,,,,,,63.61000061035156,67.19999694824219,-5.342256697802611,54.02000045776367,17.75268432307024,2.7668605299676523,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
