fiscal_year,period,period_end,price_usd,52w_high_usd,52w_low_usd,dividend_per_share_ttm_usd,dividend_yield_ttm_pct,trading_date_used,source,ticker,fy2020_price_usd_baseline,fy2020_price_trading_date_baseline,fy2020_price_source_baseline,yahoo_history_sha256,yfinance_version
2023,Q1,2023-03-31,62.029998779296875,67.19999694824219,54.02000045776367,1.78,2.8695792923247527,2023-03-31,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2023,Q2,2023-06-30,60.220001220703125,65.47000122070312,54.02000045776367,1.8,2.989040125394709,2023-06-30,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2023,Q3,2023-09-29,55.97999954223633,64.98999786376953,54.02000045776367,1.82,3.251161155560262,2023-09-29,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2023,Q4,2023-12-31,58.93000030517578,64.98999786376953,51.54999923706055,1.84,3.122348532956641,2023-12-29,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2023,FY,2023-12-31,58.93000030517578,64.98999786376953,51.54999923706055,1.84,3.122348532956641,2023-12-29,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2024,Q1,2024-03-29,61.18000030517578,64.98999786376953,51.54999923706055,1.8650000000000002,3.0483818089197077,2024-03-28,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2024,Q2,2024-06-28,63.650001525878906,64.36000061035156,51.54999923706055,1.8900000000000001,2.9693636365924694,2024-06-28,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2024,Q3,2024-09-27,71.79000091552734,73.52999877929688,51.54999923706055,1.915,2.667502403647146,2024-09-27,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2024,Q4,2024-12-31,62.2599983215332,73.52999877929688,57.93000030517578,1.94,3.1159653907813114,2024-12-31,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2024,FY,2024-12-31,62.2599983215332,73.52999877929688,57.93000030517578,1.94,3.1159653907813114,2024-12-31,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2025,Q1,2025-03-28,70.37000274658203,73.52999877929688,57.93000030517578,1.9649999999999999,2.79238300881755,2025-03-28,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2025,Q2,2025-06-27,70.33000183105469,74.37999725341797,60.619998931884766,1.99,2.82951791296741,2025-06-27,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2025,Q3,2025-09-26,65.66999816894531,74.37999725341797,60.619998931884766,2.015,3.06837224940395,2025-09-26,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2025,Q4,2025-12-31,69.91000366210938,74.37999725341797,60.619998931884766,2.04,2.9180373238997017,2025-12-31,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2025,FY,2025-12-31,69.91000366210938,74.37999725341797,60.619998931884766,2.04,2.9180373238997017,2025-12-31,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
